Variable Name (Original),Functions,Description,Min,Max,Default,Unit,Citations
meanSeaLevel,"buildScenarioCurve, predictLunarNodalCycle, deliveredSediment3TidalCycle, deliveredSedimentSimple, deliverSedimentFlexibly,  convertZStarToZ, convertZToZstar, runMemWithCohorts","a numeric or a vector of numbers, either indicating mean sea-level at the start of scenario, or mean sea-level at each year of the sceanrio",,,,,
meanSeaLevelDatum,"buildHighTideScenario, predictLunarNodalCycle, runMemWithCohorts","a numeric, Mean Sea Level over a tidal datum period",,,scenarioCurve$meanSeaLevel[1],,
meanTidalHeight,sedimentInputs,annual mean tide above marsh elevation,,,,,
minAge,runToEquilibrium,run the model for atleast these many years,,,50,years,
mineralInput,addCohort,An optional value for mineral input in grams per year (numeric) if mineralInput.fn is not used,,,NA,g/year,
mineralPackingDensity,runMemWithCohorts,"a numeric, the bulk density of pure mineral matter",,,1.99,,
nonRootVolume.arr,calculateDepthOfNonRootVolume,"a numerical array of the cumulative non-rooting volume, assumed to be monotonically increasing",,,,,
nTides,deliveredSedimentSimple,"an integer, the number of flooding events in a year",,,704,,
nTidesPerYear,sedimentInputs,number of tides per year,,,704,,
omDecayRate,"addCohort, runMemWithCohorts",A list of numerics called fast and slow which is the decay rate for the fast and slow organic matter pool in fraction per year.,,,,,
omPackingDensity,runMemWithCohorts,"a numeric, the bulk density of pure organic matter",,,0.085,,
packing,addCohort,A list of numerics with mineral and organic arguments representing their respective packing densities.,,,,,
plantElevationType,runMemWithCohorts,"character, either ""orthometric"" or ""dimensionless"", specifying elevation reference of the vegetation growing elevations",,,,,
recalcitrantFrac,runMemWithCohorts,"a numeric, fraction of organic matter resistant to decay",,,,,
recordEvolution,runToEquilibrium,a boolean flag to record how the equalibrium profile evolves,,,FALSE,,
relSeaLevelRiseInit,"buildScenarioCurve, runMemWithCohorts","a numeric, initial rate of relative sea-level rise",,,0.3,,
relTol,"calculateDepthOfNonRootVolume, runToEquilibrium",a numeric the relative tolerence accepted for the general depth solution,,,"0.0001 (calculateDepthOfNonRootVolume), .000001 (runToEquilibrium)",,
rootDensity,calculateDepthOfNonRootVolume,a numeric that is the root density in g per cm3,,,,g/cm3,
rootDepthMax,"calculateDepthOfNonRootVolume, massLiveRoots, runMemWithCohorts","an integer that is the maximum root depth, generally in cm",,,,cm,
rootOmFrac,addCohort,A list of numerics called fast and slow which is the allocation fraction between fast and slow organic matter pool respectively for dead roots.,,,,,
rootPackingDensity,runMemWithCohorts,"a numeric, the bulk density of pure root matter",,,omPackingDensity,,
rootToShoot,runMemWithCohorts,"a numeric, root to shoot ratio",,,,,
rootTurnover,"addCohort, runMemWithCohorts",A numeric as the root turnover time in faction per year.,,,,,
relSeaLevelRiseTotal,"buildScenarioCurve, runMemWithCohorts","a numeric, total relative sea-level rise over the course of the scanario",,,100,,
savePath,animateCohorts,"character, filepath to save animation to",,,getwd(),,
scenario,animateCohorts,"data frame, annual summaries of inputs and outputs from runMemWithCohorts",,,,,
scenarioCurve,buildHighTideScenario,"a data frame, including year, mean sea level, and suspended sediment concentration, with each row being a year in the scenario",,,,,
settlingVelocity,"availableSediment, deliveredSediment3TidalCycle, deliveredSedimentSimple, deliverSedimentFlexibly, runMemWithCohorts","a numeric, the number of times a water column will clear per tidal cycle",,,,,
shape,"calculateDepthOfNonRootVolume, massLiveRoots, runMemWithCohorts","a character of the shape of the root distribution, currently only 'linear' is implimented",,,linear,,
soilLength,"calculateDepthOfNonRootVolume, massLiveRoots, sedimentInputs","a numeric of the unit length of soil volume, generally 1 cm",,,1,cm,
soilWidth,"calculateDepthOfNonRootVolume, massLiveRoots, sedimentInputs","a numeric of the unitl witdth of the soil colume, generally 1cm",,,1,cm,
startYear,"buildScenarioCurve, runMemWithCohorts","an integer, year in form YYYY, the start year of the scenario",,,,YYYY,
suspendedSediment,"availableSediment, buildScenarioCurve, deliveredSediment3TidalCycle, deliveredSedimentSimple, deliverSedimentFlexibly, sedimentInputs, runMemWithCohorts","a numeric or a vector of numbers, either average annual suspended sediment concentration, or a vector of annual suspended sediment concentration for each year of the scenario",,,,,
timeStep,addCohort,A numeric of the time step in years. Typically set to 1 year.,,,1,years,
totalRootMassPerArea,"calculateDepthOfNonRootVolume, massLiveRoots","an integer that is the total mass per area of the roots, generally in g cm-3",,,,g/cm3,
trackThresholds,animateCohorts,"vector, a vector of characters indicating which water leves in the scenario table to map as horizontal lines",,,"c(""meanSeaLevel"", ""meanHighWater"")",,
verbose,calculateDepthOfNonRootVolume,"a boolean flag, true prints out a lot of strings to help debug the general solution",,,FALSE,,
width,animateCohorts,"numeric, width in inches of the .gif",,,4.5,inch,
year,predictLunarNodalCycle,"a numeric, the current year",,,,years,
z,"deliveredSediment3TidalCycle, deliveredSedimentSimple, deliverSedimentFlexibly, floodTimeFromDatum, predictedBiomass, zToZstar","a numeric, elevation of the marsh",,,0,,
zStar,convertZStarToZ,a numeric describing the normalized Z* elevation,,,,,
zVegMax,"predictedBiomass, runMemWithCohorts",upper elevation of biomass limit,,,3,,
zVegMin,"predictedBiomass, runMemWithCohorts",lower elevation of biomass limit,,,-1,,
zVegPeak,"predictedBiomass, runMemWithCohorts",(optional) elevation of peak biomass,,,NA,,
